gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
A1BG,0.02342,0.008552,0.076986279388467319,-0.011421334933398636,0.2252023187950784,-0.10159660828346911,0.042912813516747014,-0.091561271327458296,0.479826867204,0.65160477110556059
A2M,0.085701,0.033987,0.0054763115586478617,-0.11031800806049744,0.36970590173237322,0.035543271400263962,0.11800296579289905,0.095794002610556095,1.41903412704,0.2151073605156793
SERPINA3,0.064989,0.022639,0.14256536421793506,0.030074265538775208,0.061949130797286409,0.021611838446337243,0.10465636379485256,0.029077989631797318,3.27026678324,0.022192011762381111
AAMP,0.027761,0.011107,-0.15374411655126588,0.26237377894554648,0.20140071100968368,0.039350413247088191,-0.17200344296337522,-0.010808437765683254,0.412756877118,0.69688757335592055
AANAT,-0.032971,-0.012426,0.058409084573057983,-0.12277093072566372,-0.041405199469467871,0.061089138009214131,-0.028900113951368989,-0.12425047894592048,-1.08425344582,0.32774317350591736
AARS,-0.064647,-0.022954,-0.1127652915141297,0.1842620685709169,-0.20152954850343333,0.045225440264155307,-0.13477381449185927,-0.16829863278044391,-1.00678405867,0.36024692911554035
ABAT,-0.039634,-0.01712,0.15449720327426134,-0.095564371046919533,-0.23399712510740273,-0.033795513349904591,-0.1076980250478312,0.078753381889995686,-0.813616423471,0.45285305055588326
ABCA1,0.107034,0.041963,0.079833678884178236,0.19414402833008773,0.25998261696293729,-0.045059663258086101,0.12091348826231307,0.032388050563782855,2.3356514913,0.066740211346853748
ABCA2,0.023438,0.008231,0.032599628731915437,0.043311310408449474,0.17326016450968426,-0.0091586436349016115,-0.073593781590065979,-0.025787766259251051,0.608523669226,0.56942237220468361
ABCA3,0.036145,0.012635,-0.13002501739791034,0.3377324594518476,0.11593323890944285,0.050836728091775238,-0.088269790935465151,-0.069334853488077317,0.504749640312,0.63518811691210642
