wellids,mni_x,mni_y,mni_z
205,-60.8,-34.5,20.3
206,-63,-38.7,25.5
207,-65.1,-38.8,25.4
208,-59.2,-54.4,24
209,-25.9,9.2,-33.1
210,-24.8,9.2,-33
211,-50.7,-10.7,5.9
212,-34.4,-35.5,18.8
213,-35,24,3.2
214,-41.4,-21.7,9.3
215,-38,-11.8,0.8
216,-43.3,-13.6,-5.7
217,-33.5,-0.7,13.5
218,-35,-17.9,18.9
219,-10,10.1,-18.3
220,-33.1,14,10.7
221,-33.9,24.1,3.2
222,-64.5,-42.6,8.8
223,-67.8,-43.9,3
224,-62.3,-42.5,8.8
225,-35.3,14.2,55.7
226,-40.9,14,53.3
227,-25.1,-0.7,64.1
228,-28.4,-8.5,58.9
229,-26.2,-0.9,57.1
230,-36.2,-1.3,50
231,-1.5,-75.9,28.5
232,-5.8,-79,1.6
233,-20.9,-11.5,-32.8
234,-27.6,-11.5,-30.5
235,-37.8,4.3,-43.7
236,-37.7,-11.7,-30.5
237,-45.1,-60.5,-13.1
238,-40,-11.8,-31.7
239,-30.9,-13,-38.6
240,-31,-11.7,-32.8
241,-39.8,-31,-17
242,-33.1,-31.1,-24
243,-43.1,-44.1,-14.6
244,-39.7,-44,-14.6
245,-53.3,-57.3,22
246,-50,-54.7,32.4
247,-46.2,-83.3,25.5
248,-32.9,-82.6,40.8
249,-45.2,-72.4,23.4
250,-42.1,-67.3,44.1
251,-40.8,-69.9,30.2
252,-44.2,-71.1,28
253,-44.1,-72.4,23.4
254,-41.9,-71.1,28
255,-27.3,-79.2,39.4
256,-57.7,-31.6,-26.4
257,-51,-30.2,-19.4
258,-45.4,-31.2,-19.3
259,-58.7,-46.5,-14.4
260,-51.2,-14,-28
261,-10.6,-48.6,-1.1
262,-10.6,-46.3,-0.1
263,-0.9,-34.4,25.9
264,-2.8,-53.2,19.4
265,-48.3,-85,8
266,-33.7,-84.1,-6.2
267,-32.6,-84,-3.9
268,-17,-93.8,24.2
269,-12.4,-91.9,12.2
270,-33.6,-97.9,6.8
271,-27.8,-98.4,-9.6
272,-50.6,-74.4,-0.1
273,-55.1,-74.4,-0.1
274,-16.4,63.6,-13.7
275,-23.9,36.2,-13.6
276,-19.6,51.6,-11.4
277,-20.4,24.1,-16
278,-31.7,-60,-4.9
279,-18.4,-54.2,-3
280,-11.1,-96.7,0.9
281,-14.6,-81.8,-11.1
282,-11.5,-67.1,0.6
283,-4.9,-62.4,7.2
284,-10.4,36.1,-21.8
285,-7.4,56.5,-3.6
286,-6.3,56.4,-7.1
287,-11.4,24.2,-16
288,-8.1,36.2,-20.6
289,-8.2,38.6,-13.7
290,-11.4,24.3,-13.6
291,-63.1,-60.4,-0.2
292,-64.3,-59.2,2.1
293,-51.3,-14.6,-12.6
294,-57.9,-28.8,-6.6
295,-58.8,-46.4,-9.7
