wellids,mni_x,mni_y,mni_z
1152,-46,8,-42
1153,-63,-42,-4
1154,-62,-3,-19
1155,-45,8,-40
1156,-51,8,-37
1157,-55,-54,-6
1158,-63,-16,-30
1159,-19,-16,-29
1160,-37,-16,-39
1161,-27,-26,-23
1162,-5,-26,61
1163,-5,-55,72
1164,-3,-42,54
1165,-2,-42,54
1166,0,-26,73
1167,-47,29,4
1168,-43,20,36
1169,-45,20,38
1170,-44,20,-3
1171,-44,5,33
1172,-49,28,-7
1173,-34,43,-11
1174,-49,44,-9
1175,-54,44,7
1176,-21,-95,-11
1177,-17,-86,0
1178,-20,-86,-4
1179,-14,-76,8
1180,-12,-77,13
1181,-25,-64,5
1182,-42,-26,70
1183,-47,-16,63
1184,-59,-16,49
1185,-43,-16,10
1186,-26,-26,58
1187,-63,-3,42
1188,-68,-3,12
1189,-5,-26,28
1190,-3,-26,41
1191,-3,-3,32
1192,-8,-3,47
1193,-3,-16,28
1194,-6,-42,48
1195,-7,-16,44
1196,-30,-26,73
1197,-29,-26,73
1198,-60,-3,28
1199,-57,-3,47
1200,-24,-16,77
1201,-37,-16,58
1202,-36,-16,66
1203,-55,5,50
1204,-60,5,1
1205,-64,5,6
1206,-10,-78,41
1207,-12,-77,27
1208,-12,-77,29
1209,-6,-64,39
1210,-10,-55,37
1211,-16,-64,16
1212,-7,-55,4
1213,-6,44,28
1214,-4,42,-6
1215,-28,44,30
1216,-44,55,-2
1217,-37,55,-11
1218,-23,20,47
1219,-50,44,20
1220,-34,56,20
1221,-30,56,30
1222,-27,56,38
1223,-53,29,34
1224,-25,26,56
1225,-2,-3,57
1226,-19,44,54
1227,-10,55,35
1228,-9,-16,48
1229,0,5,68
1230,-2,19,47
1231,-6,26,43
1232,-4,54,12
1233,-25,-2,59
1234,-23,5,62
1235,-16,26,53
1236,-4,54,3
1237,-4,20,52
1238,-15,26,53
1239,-1,26,57
1240,-5,44,53
1241,-29,-95,15
1242,-36,-86,22
1243,-34,-86,22
1244,-35,-86,25
1245,-33,-77,22
1246,-24,-78,55
1247,-26,-64,66
1248,-25,-55,48
1249,-26,-55,66
1250,-24,-42,70
1251,-25,-64,45
1252,-19,-55,75
1253,-60,-26,18
1254,-69,-16,-1
1255,-61,-3,-4
1256,-66,-3,-5
1257,-59,5,-4
1258,-58,5,-4
1259,-39,28,-24
1260,-58,18,-12
1261,-68,-26,24
1262,-52,-16,-1
1263,-62,-16,-7
1264,-45,5,-14
1265,-50,18,-10
1266,-57,18,-12
1267,-43,28,-23
1268,-49,-3,1
1269,-47,-3,-1
1270,-52,5,-19
1271,-57,-26,54
1272,-51,-42,50
1273,-71,-42,14
1274,-47,-42,60
1275,-60,-26,26
1276,-30,18,-36
1277,-16,18,-34
1278,-25,18,-41
1279,-27,28,-39
1280,-36,-16,-1
1281,-41,5,4
1282,-41,5,-4
1283,-44,-3,5
1284,-38,20,-2
1285,-31,19,-20
